,0,1,2,3,observed result,p-value for right tail,p-value for left tail,double lower p-value,Benjamini,Final Numbers
practice_1_031_0,933,66,1,0,3,0.000999000999000999,1.0,0.001998001998001998,0.0,
practice_1_031_1,943,55,2,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_1_031_2,946,54,0,0,0,1.0,0.9460539460539461,1.8921078921078922,0.0,
practice_1_031_3,933,67,0,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_1_031_4,925,74,1,0,0,1.0,0.9250749250749251,1.8501498501498501,0.0,
practice_1_031_5,933,67,0,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_1_031_6,930,70,0,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_7,931,67,2,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_1_031_8,943,55,2,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_1_031_9,945,55,0,0,0,1.0,0.945054945054945,1.89010989010989,0.0,
practice_1_031_10,948,52,0,0,0,1.0,0.948051948051948,1.896103896103896,0.0,
practice_1_031_11,928,72,0,0,0,1.0,0.9280719280719281,1.8561438561438561,0.0,
practice_1_031_12,918,81,1,0,1,0.08291708291708291,0.9180819180819181,0.16583416583416583,0.0,
practice_1_031_13,929,71,0,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_1_031_14,949,48,3,0,1,0.05194805194805195,0.949050949050949,0.1038961038961039,0.0,
practice_1_031_15,944,56,0,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_1_031_16,920,78,2,0,0,1.0,0.9200799200799201,1.8401598401598402,0.0,
practice_1_031_17,945,55,0,0,0,1.0,0.945054945054945,1.89010989010989,0.0,
practice_1_031_18,930,68,2,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_19,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_1_031_20,929,70,1,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_1_031_21,933,64,3,0,1,0.06793206793206794,0.9330669330669331,0.13586413586413587,0.0,
practice_1_031_22,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_1_031_23,933,66,1,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_1_031_24,924,75,1,0,0,1.0,0.9240759240759241,1.8481518481518482,0.0,
practice_1_031_25,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_1_031_26,930,69,1,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_27,939,59,2,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_1_031_28,924,75,1,0,0,1.0,0.9240759240759241,1.8481518481518482,0.0,
practice_1_031_29,951,48,1,0,0,1.0,0.951048951048951,1.902097902097902,0.0,
practice_1_031_30,930,67,3,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_31,923,75,2,0,1,0.07792207792207792,0.9230769230769231,0.15584415584415584,0.0,
practice_1_031_32,938,60,2,0,1,0.06293706293706294,0.938061938061938,0.1258741258741259,0.0,
practice_1_031_33,929,69,2,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_1_031_34,922,75,3,0,0,1.0,0.922077922077922,1.844155844155844,0.0,
practice_1_031_35,947,53,0,0,0,1.0,0.9470529470529471,1.8941058941058941,0.0,
practice_1_031_36,933,65,2,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_1_031_37,938,60,2,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_1_031_38,930,70,0,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_1_031_39,934,66,0,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_1_031_40,936,63,1,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_1_031_41,938,61,1,0,3,0.000999000999000999,1.0,0.001998001998001998,0.0,
practice_2_054_0,934,66,0,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_2_054_1,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_2_054_2,943,56,1,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_2_054_3,939,58,3,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_2_054_4,929,71,0,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_2_054_5,944,55,1,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_2_054_6,931,62,7,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_2_054_7,931,68,1,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_2_054_8,937,62,1,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_2_054_9,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_2_054_10,934,65,1,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_2_054_11,941,58,1,0,0,1.0,0.9410589410589411,1.8821178821178821,0.0,
practice_2_054_12,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_2_054_13,933,66,1,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_2_054_14,938,62,0,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_2_054_15,943,57,0,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_2_054_16,939,61,0,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_2_054_17,952,46,2,0,0,1.0,0.952047952047952,1.904095904095904,0.0,
practice_2_054_18,942,56,2,0,0,1.0,0.942057942057942,1.884115884115884,0.0,
practice_2_054_19,950,50,0,0,0,1.0,0.9500499500499501,1.9000999000999002,0.0,
practice_2_054_20,940,58,2,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_2_054_21,931,68,1,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_2_054_22,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_2_054_23,939,59,2,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_2_054_24,936,62,2,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_2_054_25,926,74,0,0,0,1.0,0.926073926073926,1.852147852147852,0.0,
practice_2_054_26,935,65,0,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_2_054_27,944,55,1,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_2_054_28,933,66,1,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_2_054_29,934,63,3,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_2_054_30,934,65,1,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_2_054_31,942,56,2,0,0,1.0,0.942057942057942,1.884115884115884,0.0,
practice_2_054_32,933,67,0,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_2_054_33,951,48,1,0,0,1.0,0.951048951048951,1.902097902097902,0.0,
practice_2_054_34,931,67,2,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_2_054_35,931,69,0,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_2_054_36,929,70,1,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_2_054_37,946,54,0,0,0,1.0,0.9460539460539461,1.8921078921078922,0.0,
practice_2_054_38,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_2_054_39,935,63,2,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_2_054_40,926,70,4,0,0,1.0,0.926073926073926,1.852147852147852,0.0,
practice_2_054_41,941,58,1,0,0,1.0,0.9410589410589411,1.8821178821178821,0.0,
practice_2_054_42,935,64,1,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_2_054_43,938,58,4,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_2_054_44,938,58,4,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_2_054_45,944,54,2,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_2_054_46,931,67,2,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_2_054_47,944,56,0,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_2_054_48,944,55,1,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_2_054_49,932,68,0,0,0,1.0,0.932067932067932,1.864135864135864,0.0,
practice_2_054_50,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_2_054_51,924,74,2,0,0,1.0,0.9240759240759241,1.8481518481518482,0.0,
practice_2_054_52,937,62,1,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_2_054_53,939,60,1,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_2_054_54,929,69,2,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_2_054_55,925,74,1,0,0,1.0,0.9250749250749251,1.8501498501498501,0.0,
practice_2_054_56,918,82,0,0,0,1.0,0.9180819180819181,1.8361638361638362,0.0,
practice_2_054_57,930,69,1,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_2_054_58,944,55,1,0,0,1.0,0.9440559440559441,1.8881118881118881,0.0,
practice_2_054_59,917,82,1,0,0,1.0,0.9170829170829171,1.8341658341658342,0.0,
practice_2_054_60,935,63,2,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_2_054_61,947,51,2,0,0,1.0,0.9470529470529471,1.8941058941058941,0.0,
practice_2_054_62,935,61,4,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_2_054_63,937,62,1,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_2_054_64,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_2_054_65,943,57,0,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_2_054_66,941,57,2,0,0,1.0,0.9410589410589411,1.8821178821178821,0.0,
practice_2_054_67,933,65,2,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_2_054_68,933,65,2,0,0,1.0,0.9330669330669331,1.8661338661338662,0.0,
practice_2_054_69,934,64,2,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_2_054_70,935,65,0,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_2_054_71,952,48,0,0,0,1.0,0.952047952047952,1.904095904095904,0.0,
practice_3_252_0,949,51,0,0,0,1.0,0.949050949050949,1.898101898101898,0.0,
practice_3_252_1,943,55,2,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_3_252_2,938,59,3,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_3_252_3,924,75,1,0,0,1.0,0.9240759240759241,1.8481518481518482,0.0,
practice_3_252_4,919,79,2,0,0,1.0,0.919080919080919,1.838161838161838,0.0,
practice_3_252_5,936,61,3,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_3_252_6,924,75,1,0,0,1.0,0.9240759240759241,1.8481518481518482,0.0,
practice_3_252_7,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_3_252_8,939,61,0,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_3_252_9,938,61,1,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_3_252_10,931,68,1,0,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_3_252_11,946,54,0,0,0,1.0,0.9460539460539461,1.8921078921078922,0.0,
practice_3_252_12,939,60,1,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_3_252_13,941,58,1,0,0,1.0,0.9410589410589411,1.8821178821178821,0.0,
practice_3_252_14,954,46,0,0,0,1.0,0.954045954045954,1.908091908091908,0.0,
practice_3_252_15,937,62,1,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_3_252_16,943,53,4,0,0,1.0,0.9430569430569431,1.8861138861138862,0.0,
practice_3_252_17,926,73,1,0,0,1.0,0.926073926073926,1.852147852147852,0.0,
practice_3_252_18,935,65,0,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_3_252_19,936,64,0,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_3_252_20,930,70,0,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_3_252_21,925,73,2,0,0,1.0,0.9250749250749251,1.8501498501498501,0.0,
practice_3_252_22,936,63,1,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_3_252_23,936,62,2,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_3_252_24,930,70,0,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_3_252_25,935,65,0,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_3_252_26,937,62,1,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_3_252_27,934,66,0,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_3_252_28,937,62,1,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_3_252_29,953,46,1,0,0,1.0,0.9530469530469531,1.9060939060939062,0.0,
practice_3_252_30,948,52,0,0,0,1.0,0.948051948051948,1.896103896103896,0.0,
practice_3_252_31,932,67,1,0,0,1.0,0.932067932067932,1.864135864135864,0.0,
practice_3_252_32,931,68,0,1,0,1.0,0.9310689310689311,1.8621378621378621,0.0,
practice_3_252_33,936,64,0,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_3_252_34,938,60,2,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_3_252_35,945,51,4,0,0,1.0,0.945054945054945,1.89010989010989,0.0,
practice_3_252_36,929,70,1,0,0,1.0,0.929070929070929,1.858141858141858,0.0,
practice_3_252_37,939,61,0,0,0,1.0,0.939060939060939,1.878121878121878,0.0,
practice_3_252_38,941,59,0,0,0,1.0,0.9410589410589411,1.8821178821178821,0.0,
practice_3_252_39,936,64,0,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
practice_3_252_40,941,59,0,0,0,1.0,0.9410589410589411,1.8821178821178821,0.0,
practice_3_252_41,937,61,2,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_3_252_42,945,53,2,0,0,1.0,0.945054945054945,1.89010989010989,0.0,
practice_3_252_43,941,58,1,0,0,1.0,0.9410589410589411,1.8821178821178821,0.0,
practice_3_252_44,935,65,0,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_3_252_45,937,60,3,0,0,1.0,0.9370629370629371,1.8741258741258742,0.0,
practice_3_252_46,934,63,3,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_3_252_47,938,62,0,0,0,1.0,0.938061938061938,1.876123876123876,0.0,
practice_3_252_48,946,54,0,0,0,1.0,0.9460539460539461,1.8921078921078922,0.0,
practice_3_252_49,940,59,1,0,0,1.0,0.9400599400599401,1.8801198801198802,0.0,
practice_3_252_50,930,69,1,0,0,1.0,0.9300699300699301,1.8601398601398602,0.0,
practice_3_252_51,934,64,2,0,0,1.0,0.9340659340659341,1.8681318681318682,0.0,
practice_3_252_52,935,64,1,0,0,1.0,0.935064935064935,1.87012987012987,0.0,
practice_3_252_53,925,72,3,0,0,1.0,0.9250749250749251,1.8501498501498501,0.0,
practice_3_252_54,936,62,2,0,0,1.0,0.936063936063936,1.872127872127872,0.0,
